ticker,strategy,gross,net,buyhold,drag,turnover,sharpe,max_dd,verdict
SPY,adx_dmi,0.26933862661549934,0.24146801207422208,2.8288467223823544,0.02787061454127726,74.0,0.37943176592717387,-0.12652030118568358,lags_hold
SPY,adx_squeeze_break,0.8885952580363339,0.8421755898457384,2.8288467223823544,0.04641966819059551,83.0,0.7244219849348992,-0.17746684891795894,lags_hold
SPY,bb_squeeze_break,0.09119729354888118,0.06915747669529826,2.8288467223823544,0.022039816853582916,68.0,0.147713563245795,-0.1351813662136252,lags_hold
SPY,cci_100,0.49872795790083013,0.35631089251561576,2.8288467223823544,0.14241706538521437,333.0,0.5115523311536194,-0.11378771938635468,lags_hold
SPY,donchian_20_10,1.2299188234857934,1.1737927563238366,2.8288467223823544,0.05612606716195678,85.0,0.8914904899222778,-0.09721642434630895,lags_hold
SPY,donchian_55_20,0.6088538788302102,0.5872929322265201,2.8288467223823544,0.021560946603690123,45.0,0.585521645512173,-0.22928956613234408,lags_hold
SPY,ema_cross,1.60501571675597,1.5562763848469148,2.8288467223823544,0.04873933190905522,63.0,0.9423572122050154,-0.1772772081646854,lags_hold
SPY,golden_cross,1.614838797593844,1.6077778559102809,2.8288467223823544,0.007060941683563193,9.0,0.7311778362615144,-0.33717274248906437,lags_hold
SPY,ichimoku,1.2469694540678296,1.2142362120057157,2.8288467223823544,0.03273324206211381,49.0,0.7887223475340404,-0.21332482281974996,lags_hold
SPY,keltner_break,0.3582125412494743,0.32360644304190345,2.8288467223823544,0.03460609820757088,86.0,0.45641197887875035,-0.14492514060118167,lags_hold
SPY,macd_cross,1.1944533917950761,1.0611011157619936,2.8288467223823544,0.13335227603308253,209.0,0.7874551776916204,-0.15405835837266346,lags_hold
SPY,mfi,1.3588607666413108,1.347529579956483,2.8288467223823544,0.011331186684827799,16.0,0.6613321008063473,-0.2831905430987156,lags_hold
SPY,price_sma200,1.8493330428050405,1.8060740305863452,2.8288467223823544,0.043259012218695325,51.0,0.9607022459579798,-0.2033463144929113,lags_hold
SPY,psar,1.2987881956545868,1.1437133912783786,2.8288467223823544,0.15507480437620824,233.0,0.7785252878982725,-0.22728428969835524,lags_hold
SPY,rsi2_reversion,0.7573782765631005,0.6471220843546932,2.8288467223823544,0.11025619220840732,216.0,0.5160171371208714,-0.27789118629693244,lags_hold
SPY,rsi_momentum,1.2991521815974068,1.2066162756289063,2.8288467223823544,0.09253590596850048,137.0,0.7838463607877361,-0.2117879467535888,lags_hold
SPY,rsi_reversion,0.22765525996096758,0.22030800521940797,2.8288467223823544,0.007347254741559617,20.0,0.23437439800760768,-0.28319054309871583,lags_hold
SPY,stoch,0.6393628321003297,0.6111006237037424,2.8288467223823544,0.02826220839658733,58.0,0.43058591213051955,-0.2831905430987155,lags_hold
SPY,supertrend,0.8304539295513362,0.7859311042731802,2.8288467223823544,0.044522825278155986,82.0,0.6285699605697334,-0.1875826028518588,lags_hold
SPY,vwap_reversion,0.4447009251600178,0.3961234651128469,2.8288467223823544,0.048577460047170895,114.0,0.32120910920326395,-0.3048686126064387,lags_hold
SPY,willr,1.1193036282098885,1.050470748506033,2.8288467223823544,0.06883287970385554,110.0,0.5890342367280172,-0.2831905430987155,lags_hold
QQQ,adx_dmi,0.7433491349115255,0.7080994590852658,5.221519094975464,0.03524967582625971,68.0,0.663235848175392,-0.17601328251228043,lags_hold
QQQ,adx_squeeze_break,2.0547849460052587,1.9859916524825203,5.221519094975464,0.06879329352273844,76.0,1.022986517738228,-0.16175876037893044,lags_hold
QQQ,bb_squeeze_break,0.002389470533352922,-0.014889283311334323,5.221519094975464,0.017278753844687245,58.0,0.012288794490796487,-0.20637246866662706,cost_killed
QQQ,cci_100,1.0109665414944065,0.8302816538191398,5.221519094975464,0.1806848876752667,314.0,0.7616471317667322,-0.10828120925297358,lags_hold
QQQ,donchian_20_10,1.8350903451798763,1.7646191106791118,5.221519094975464,0.07047123450076453,84.0,0.9360675495385148,-0.18200199853001453,lags_hold
QQQ,donchian_55_20,1.4116676401290555,1.3835945140712638,5.221519094975464,0.028073126057791775,39.0,0.7756732028097224,-0.1664291213175888,lags_hold
QQQ,ema_cross,2.617500152682437,2.5499279629053753,5.221519094975464,0.06757218977706181,63.0,0.980200520743885,-0.20730913214872726,lags_hold
QQQ,golden_cross,4.427738769079344,4.4131811206718226,5.221519094975464,0.014557648407521384,9.0,1.0000358514905414,-0.28559389101229504,lags_hold
QQQ,ichimoku,2.333985395727855,2.293279057016398,5.221519094975464,0.040706338711457235,41.0,0.9034470866106604,-0.2660891220594035,lags_hold
QQQ,keltner_break,0.8053716831116535,0.7573089034063782,5.221519094975464,0.04806277970527528,90.0,0.646669885747522,-0.17023324513511795,lags_hold
QQQ,macd_cross,1.483158066194867,1.3456606189041898,5.221519094975464,0.13749744729067714,190.0,0.7341648330516156,-0.25094570456677556,lags_hold
QQQ,mfi,1.317140330587371,1.3088455759198525,5.221519094975464,0.0082947546675185,12.0,0.5639863528932686,-0.2956176321133921,lags_hold
QQQ,price_sma200,3.6715620930769717,3.6143152710423294,5.221519094975464,0.057246822034642264,41.0,1.0384246516976015,-0.22645520598073898,lags_hold
QQQ,psar,1.5702478796353332,1.397536758614022,5.221519094975464,0.17271112102131125,232.0,0.6974911676847229,-0.3643453674406777,lags_hold
QQQ,rsi2_reversion,1.1724474709219521,1.0398620794129907,5.221519094975464,0.13258539150896143,210.0,0.6371964209375519,-0.17054571245233718,lags_hold
QQQ,rsi_momentum,3.0753517684852385,2.92537261176304,5.221519094975464,0.14997915672219841,125.0,1.017629623300838,-0.2680379553791047,lags_hold
QQQ,rsi_reversion,0.5743867063095036,0.5640577850615158,5.221519094975464,0.010328921247987788,22.0,0.4235341403400403,-0.22417773681752762,lags_hold
QQQ,stoch,0.6978578076538067,0.6675648137981471,5.221519094975464,0.030292993855659534,60.0,0.41073306215408134,-0.27737525984784395,lags_hold
QQQ,supertrend,2.0767292055524686,2.0055541468721945,5.221519094975464,0.07117505868027418,78.0,0.9576779705926469,-0.1798848672893325,lags_hold
